post_id,user_id,caption,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,timestamp,queryTag,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28
P0011,U0011,"PETAZONE PHOTO CONTEST 
.
.
.
.
.
.
.
.
.

@aydins_dad 
#fyp #petaccessories #petgroomers #pettraining #petaccessories #pettraining #petfoods #instagood #instadaily",Petazone.in,__petazone,https://www.instagram.com/p/DR1G7TPAbMd/,1,,133,2025-12-04T05:28:40.000Z,,fyp,petaccessories,petgroomers,pettraining,petfoods,instagood,instadaily,,,,,,,,,,,,,,,,,,,,,,
P0012,U0011,"PETAZONE PHOTO CONTEST 
.
.
.
.
.
.
.
.
.
.
.
.
.
@santhwana4400 
#fyp #instagood #puppy #shitz #keralagram #petaccessories #pettraining #petgroomingsalon🐾✂️❤️ #keralagram #keralagram",Petazone.in,__petazone,https://www.instagram.com/p/DR1GBLMAQl-/,8,,55,2025-12-04T05:20:44.000Z,,fyp,instagood,puppy,shitz,keralagram,petaccessories,pettraining,petgroomingsalon🐾✂️❤️,,,,,,,,,,,,,,,,,,,,,
P0013,U0012,"Scratch Free in 7 Days
Scratch-Free in 7 Days solves one of the most painful problems cat owners face - destroyed furniture and constant frustration. This isn't generic cat advice - it's a proven system created by a professional feline behaviorist who personally struggled with a destructive cat
#catslife #petlove #pettraining #catloversworld",dougstore24,amazin_dukaan,https://www.instagram.com/p/DR1EV3ngZOt/,0,,1,2025-12-04T05:06:05.000Z,,catslife,petlove,pettraining,catloversworld,,,,,,,,,,,,,,,,,,,,,,,,,
P0014,U0013,"🎓🐾 Congratulations to Archie! 🐾🎓
 This sweet 6-month-old Mini Goldendoodle just wrapped up his two-week Board & Train, and we couldn’t be more proud!

Archie’s mom had only adopted him a week before coming to training, and she was determined to set him up for success from the very start. 

When Archie first arrived, he was a little shy while trying to make sense of this big new world. He didn’t know any basic obedience cues yet, and he definitely thought chewing anything he could find was part of the fun 😅 But wow… what a transformation. ✨
 Archie has the best personality—super loving, eager to please, and always ready for belly rubs. Over the two weeks, he learned his foundation skills, built confidence, and showed us just how smart and sweet he really is.

We’re so excited for this little guy and all the adventures ahead with his new family. Great job, Archie! 💛🐶

Another dog UNLEASHED!! 
🐾🤍✨
www.alldogsunleashed.com/nashville
.
.
.
.
#adunashville #boardandtraindogtraining #obediencedogtraining #basicobedience #alldogsunleashednashville #nashvilletrainer #k9 #dogobedience #obediencetraining #nashville #nashvilletn #nashvilledogs #dogschool #puppyschool #pettraining #k9trainer #k9training #puppylover #puppytransformation #puppytraining #puppytrainer #doglife #dogtraining #dogtrainer #dogtrainers #minigoldendoodle #archie",ALL DOGS UNLEASHED NASHVILLE,alldogsunleashednashville,https://www.instagram.com/p/DR03SusjBXe/,2,,11,2025-12-04T03:12:03.000Z,,adunashville,boardandtraindogtraining,obediencedogtraining,basicobedience,alldogsunleashednashville,nashvilletrainer,k9,dogobedience,obediencetraining,nashville,nashvilletn,nashvilledogs,dogschool,puppyschool,pettraining,k9trainer,k9training,puppylover,puppytransformation,puppytraining,puppytrainer,doglife,dogtraining,dogtrainer,dogtrainers,minigoldendoodle,archie,,
P0015,U0014,"What if your dog could go to school for the day-and come home happier, calmer, and better behaved?
That’s exactly what our Daily Balance program is all about!  I invented DAILY BALANCE in StL in 2014 then I spent 10 years winning 🏆 the highest level K9 competitions in the world 🌎 I have been featured in FORBES , Who’s Who in America 🇺🇸 A&E tvs Americas top dog season 1&2 and to many other books magazines Tv 📺 and radio 📻 shows to list hear ‼️ 
Think of it as day school for dogs-where your pup gets the mental stimulation, physical exercise, and genetic fulfillment they crave to thrive. We teach your dogs to participate in all the right rituals routines and exercises to make them a perfect companion ‼️ Because let’s be real... a balanced dog is a well-behaved dog **.:
Whether your dog needs help with manners, focus, or just needs a positive outlet for their energy, we’ve got you covered. DM us for your free phone consultation today ‼️. 1. #DogTraining
2. #PuppyTraining
3. #PositiveReinforcement
4. #ObedienceTraining
5. #DogBehavior
6. #Training Tips
7. #Dog Trainer
8. #CanineTraining
9. #PetTraining
10. #DogObedience
11. #ServiceDog Training
12. #LeashTraining
13. #DogLife
14. #PuppyLove
15. #DogLovers
16. #DogEducation
S
1. #LuxuryService
2. #HighEndExperience
3. #PremiumService
4. #LuxuryLifestyle
5. #ExclusiveService
6. #LuxuryLiving
7. #FiveStarService
8. #LuxuryTravel
9. #PersonalConcierge
10. #BespokeService
11. #LuxuryBrand
12 #HighTouchService
13 #eliteexperuence
14. #luxuryamenities",Good Dog Day,good_dog_day6,https://www.instagram.com/p/DR0zMdkkeHy/,1,,7,2025-12-04T02:36:15.000Z,,DogTraining,PuppyTraining,PositiveReinforcement,ObedienceTraining,DogBehavior,Training,Dog,CanineTraining,PetTraining,DogObedience,ServiceDog,LeashTraining,DogLife,PuppyLove,DogLovers,DogEducation,LuxuryService,HighEndExperience,PremiumService,LuxuryLifestyle,ExclusiveService,LuxuryLiving,FiveStarService,LuxuryTravel,PersonalConcierge,BespokeService,LuxuryBrand,HighTouchService,eliteexperuence
P0016,U0015,"🎓Wednesday’s Graduates – Titus, Stella, Tito, Bruno, and Eloy:
This pack wrapped up their training with all the confidence, control, and good manners they’ve been working toward — and they did it in style. From mastering structure to showing off their self-control, they’re heading home ready to make their families proud. Great job, grads!🎉
.
.
.
 #alldogsunleashed #carrollton #dallastrainer #k9handler #k9dogs #k9 #dogobedience #obediencetraining #fortworth #dallastx #dallasdogs #dallastexas #dallas #texasdogs #texas #dogschool #puppyschool #pettraining #k9trainer #k9training #puppylover #puppytransformation #puppytraining #puppytrainer #dogtricks #doglife #dogtrainingtips #dogtraining #dogtrainer #dogtrainers
@Anvisidda",All dogs Unleashed,alldogsunleashed,https://www.instagram.com/p/DR0d3ylFBtT/,0,,10,2025-12-03T23:29:56.000Z,,alldogsunleashed,carrollton,dallastrainer,k9handler,k9dogs,k9,dogobedience,obediencetraining,fortworth,dallastx,dallasdogs,dallastexas,dallas,texasdogs,texas,dogschool,puppyschool,pettraining,k9trainer,k9training,puppylover,puppytransformation,puppytraining,puppytrainer,dogtricks,doglife,dogtrainingtips,dogtraining,dogtrainer
P0017,U0016,"Keep your home clean and stylish with these super-absorbent, washable dog pads. Designed to protect floors, stop leaks, and prevent slipping, they’re perfect for puppies, senior dogs, and indoor training. Durable, reusable, and with beautiful patterns that blend into any home decor. Get yours here: https://amzn.to/4rBNS9m
#ad #dogtraining #dogpads #petessentials #puppylove #dogowners #cleanhome #reusablepads #washablepads #petcaretips #dogproducts #amazonfinds #pettraining #musthavepets #homedecorcompatible #ad",Wiro Shop Now,wiroshopnow,https://www.instagram.com/p/DR0HYlUESeX/,0,,3,2025-12-03T20:13:26.000Z,,ad,dogtraining,dogpads,petessentials,puppylove,dogowners,cleanhome,reusablepads,washablepads,petcaretips,dogproducts,amazonfinds,pettraining,musthavepets,homedecorcompatible,,,,,,,,,,,,,,
P0018,U0017,"If you are searching for a gift for the canine in your life, here are 7 Great Gift Ideas for your best friend! Read more:https://www.cmfmag.ca/critters/7-great-gift-ideas-for-your-canine/
#pets #pet #dogs #dog #cats #animals #cute #cat #puppy #doglove #animal #doglovers #petlovers #doglife  #catlover #puppylove #puppies #catlovers #cmfmag #furrybaby #pettraining #dogsofcanada #militarypets #puppytrainingtips",CMFmag,canadianmilitaryfamilymagazine,https://www.instagram.com/p/DR0FZ6QE6mi/,0,,2,2025-12-03T19:56:22.000Z,,pets,pet,dogs,dog,cats,animals,cute,cat,puppy,doglove,animal,doglovers,petlovers,doglife,catlover,puppylove,puppies,catlovers,cmfmag,furrybaby,pettraining,dogsofcanada,militarypets,puppytrainingtips,,,,,
P0019,U0018,Jeunes panthères des neiges au @bioparcdedoue 😍📷 (Photo prise en juillet 2025). #bioparcdedoue #bioparcdouélafontaine #bioparc #anjoutourisme #cat #cats #catsofinstagram #panthère #panthères #panthèredesneiges #snowleopards #snowleopard #snowleopardconservation #snowleopardtrust #pantherauncia #panteradelasnieves #leopards #leopardo #leopardsofinstagram #schneeleopard #endangeredanimals #endangeredspecies,Olivier C.,olcapics,https://www.instagram.com/p/DR2rtaejAi3/,0,,0,2025-12-04T20:09:19.000Z,,bioparcdedoue,bioparcdouélafontaine,bioparc,anjoutourisme,cat,cats,catsofinstagram,panthère,panthères,panthèredesneiges,snowleopards,snowleopard,snowleopardconservation,snowleopardtrust,pantherauncia,panteradelasnieves,leopards,leopardo,leopardsofinstagram,schneeleopard,endangeredanimals,endangeredspecies,,,,,,,
P0020,U0019,"おはようございます
素敵な週末をお過ごしください
#Love's 
 Need of Love 

#cats #catstagram #猫のいる暮らし #猫好きさ#保護猫
#ねこ#cat #おはようございます
#ねこのきもち
#ねこのいる生活
#猫好きさんと繋がりたい
#catsofinstagram
#catstagram #catstagram
#ねこのいる幸せ
#おはよう#キジトラ#子猫
#ハチワレ #palebluedot_mojiko",竹元 弘一,bamboobass_k,https://www.instagram.com/p/DR2rtBfE7fd/,0,,0,2025-12-04T20:09:16.000Z,,Love's,cats,catstagram,猫のいる暮らし,猫好きさ,保護猫,ねこ,cat,おはようございます,ねこのきもち,ねこのいる生活,猫好きさんと繋がりたい,catsofinstagram,ねこのいる幸せ,おはよう,キジトラ,子猫,ハチワレ,palebluedot_mojiko,,,,,,,,,,
P0021,U0020,"❤️❤️ #cat #cats #catlover  #tortoiseshellcat #tortoiseshellcats #tortoiseshellcatsofinstagram #tortoiseshellcatsrule #tortoiseshellcatsarebest
#patchtabby #patchtabbycat #torbie #torbiecat #torbiecatsofinstagram  #tabbycat  #torbiecats #browntabbycat #tortiecat #tortie #tortieshell #tortieshellcat #dilutetortie #dilutedtortie #dilutedtortoiseshell #dilutetortoiseshell",Jill,jilly2786,https://www.instagram.com/p/DR2rrC3iT85/,0,,0,2025-12-04T20:09:00.000Z,,cat,cats,catlover,tortoiseshellcat,tortoiseshellcats,tortoiseshellcatsofinstagram,tortoiseshellcatsrule,tortoiseshellcatsarebest,patchtabby,patchtabbycat,torbie,torbiecat,torbiecatsofinstagram,tabbycat,torbiecats,browntabbycat,tortiecat,tortie,tortieshell,tortieshellcat,dilutetortie,dilutedtortie,dilutedtortoiseshell,dilutetortoiseshell,,,,,
P0022,U0021,"Baby Hetty’s first snow ❄️ (before she decided she hated it 😹) 

•
•
•

#cat #cats #cutekitten #catsofig #cutecat #kittens #kitten #kittensofinstagram #tbt  #adventurecats #snow #hesterisnotacat #throwbackthursday #throwback #smol",Hester is Not a Cat,hester_is_not_a_cat,https://www.instagram.com/p/DR2rpYcDwMh/,0,,3,2025-12-04T20:08:46.000Z,,cat,cats,cutekitten,catsofig,cutecat,kittens,kitten,kittensofinstagram,tbt,adventurecats,snow,hesterisnotacat,throwbackthursday,throwback,smol,,,,,,,,,,,,,,
P0023,U0022,"Bob de Lynx

#eindhovenzoo	 #Photography #Photo #Zoophotography #zoo #animal #animals #animalphotography
#lynx #eurasianlynx	#Cat #Cats #Feline #Felines #lynxes",Patrick van Zutphen,patrick_van_zutphen,https://www.instagram.com/p/DR2rjdojDbt/,0,,0,2025-12-04T20:07:58.000Z,,eindhovenzoo,Photography,Photo,Zoophotography,zoo,animal,animals,animalphotography,lynx,eurasianlynx,Cat,Cats,Feline,Felines,lynxes,,,,,,,,,,,,,,
P0024,U0023,"Silly cat 
#cats #cute #puppy",Catsbeingsilly,catbeingsillycatss,https://www.instagram.com/p/DR2rh9dgomI/,0,,7,2025-12-04T20:07:46.000Z,,cats,cute,puppy,,,,,,,,,,,,,,,,,,,,,,,,,,
P0025,U0024,"📢⚽ Final Sub-15 – Jogo de Ida

A grande final começa amanhã!
Referência x CATS entram em campo no primeiro duelo que decide o título do Sub-15.
Clima de decisão e energia lá em cima!

#sub15 #final #referencia #cats #copaconectafoot #futeboldabase",🌎 Plataforma que conectará você ao mundo do futebol.,conectafoot,https://www.instagram.com/p/DR2rh-OET06/,0,,1,2025-12-04T20:07:46.000Z,,sub15,final,referencia,cats,copaconectafoot,futeboldabase,,,,,,,,,,,,,,,,,,,,,,,
P0026,U0025,"You need to hear this pet parents…

#fy #fyp #cats #cat #pets",Cat Health | Pet Wellness | Cat Lovers,catwellnesstips,https://www.instagram.com/p/DR2rhQ0j7y8/,0,,0,2025-12-04T20:07:40.000Z,,fy,fyp,cats,cat,pets,,,,,,,,,,,,,,,,,,,,,,,,
P0027,U0026,Little sh!t stole my spot🤣 damn Wookiee #fypシ #cats #happy,Wes Zilla,poguezilla953,https://www.instagram.com/p/DR2rhEDk6lR/,0,,0,2025-12-04T20:07:39.000Z,,fypシ,cats,happy,,,,,,,,,,,,,,,,,,,,,,,,,,
P0028,U0027,"🐾 Treat of the Month!
Save big until December 31:
🔸 25% OFF all Earth Animal No-Hide dog treats
🔸 Save $1 on Inaba Churu & Performatrin lickable cat treats
Stock up on your pets’ favourites while the savings last! 🎁💚

#petvalu #bosleys #pets #dogs #cats #petsupply #canada #canadianpets #local #shoplocal #madeincanada #animalcareexperts #lowermainland #langley #walnutgrove #catfood #dogfood #treats #rescue #adoption #totm",Bosley’s Walnut Grove 7012,bosleys_walnutgrove,https://www.instagram.com/p/DR2rcibkrSx/,0,,0,2025-12-04T20:07:01.000Z,,petvalu,bosleys,pets,dogs,cats,petsupply,canada,canadianpets,local,shoplocal,madeincanada,animalcareexperts,lowermainland,langley,walnutgrove,catfood,dogfood,treats,rescue,adoption,totm,,,,,,,,
P0029,U0028,"I was in #Nottingham, #England today for the first time and this is the most important thing you need to know about my day. 

🐾 🐾 🐾 🐾 #Cats#rescuecats",Michele Ari,micheleari,https://www.instagram.com/p/DR2rcjuiMlG/,0,,0,2025-12-04T20:07:01.000Z,,"Nottingham,",England,Cats,rescuecats,,,,,,,,,,,,,,,,,,,,,,,,,
